"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.570553125E0,-1.288819885E-1,1.545985107E0,1.156075928E1
3.580497125E0,-1.330732727E-1,1.251248016E0,1.167931274E1
3.590441125E0,1.853146362E-1,1.103355560E0,1.169488037E1
3.600386125E0,6.864724731E-1,1.129401398E0,1.139490417E1
3.610330125E0,1.115480347E0,1.190025330E0,1.080962128E1
3.620274125E0,1.360520782E0,1.226699066E0,1.010383896E1
3.630219125E0,1.623972931E0,1.407672729E0,9.312434692E0
3.640163125E0,1.922452240E0,1.653461609E0,8.563542023E0
3.650107125E0,2.077230377E0,1.849853210E0,7.870932312E0
3.660051125E0,2.060614929E0,1.973496094E0,7.256460114E0
3.669996125E0,1.959425354E0,2.006726990E0,6.857539673E0
3.679940125E0,1.851948853E0,1.991907806E0,6.762038269E0
3.689884125E0,1.883533173E0,1.886826324E0,7.064259796E0
3.699829125E0,2.112407227E0,1.732796631E0,7.594457245E0
3.709773125E0,2.401007080E0,1.624871063E0,8.146658936E0
3.719717125E0,2.609673157E0,1.502874756E0,8.460107117E0
3.729661125E0,2.680326233E0,1.353784790E0,8.456813965E0
3.739606125E0,2.766097870E0,1.212179260E0,8.407865753E0
3.749550125E0,2.912942505E0,1.155447235E0,8.291707306E0
3.759494125E0,2.889591064E0,8.954379272E-1,8.189918976E0
3.769438125E0,2.974614258E0,7.830216980E-1,8.098758545E0
3.779383125E0,3.186573486E0,7.840695190E-1,8.092321930E0
3.789327125E0,3.319796448E0,7.358697510E-1,8.034841461E0
3.799271125E0,3.437900848E0,7.857160950E-1,8.036188660E0
3.809216125E0,3.427272949E0,8.930429077E-1,8.106692047E0
3.819160125E0,3.124602356E0,9.277706909E-1,8.239915009E0
3.829104125E0,2.662812653E0,9.927355957E-1,8.460256805E0
3.839048125E0,2.098635864E0,1.066532135E0,8.805289307E0
3.848993125E0,1.435215454E0,1.229243774E0,9.244176636E0
3.858937125E0,8.198451233E-1,1.427731018E0,9.629026337E0
3.868881125E0,4.343966675E-1,1.672472076E0,9.916578369E0
3.878826125E0,2.900967407E-1,1.948947144E0,1.004216721E1
3.888770125E0,3.513194275E-1,2.221230927E0,1.002644989E1
3.898714125E0,5.468128967E-1,2.458337860E0,9.840386810E0
3.908658125E0,6.120771790E-1,2.561473389E0,9.606872406E0
3.918603125E0,6.864724731E-1,2.525548096E0,9.460925903E0
3.928547125E0,1.050665131E0,2.592458954E0,9.543254700E0
3.938491125E0,1.848805389E0,2.842439117E0,9.677226105E0
3.948436125E0,3.110681305E0,3.120710449E0,9.974657593E0
3.958380125E0,4.417463837E0,3.166964264E0,1.036923706E1
3.968324125E0,5.473218384E0,3.069067841E0,1.024574387E1
3.978268125E0,5.973777466E0,2.506387939E0,1.011865814E1
3.988213125E0,6.067931671E0,1.897603912E0,1.023137375E1
3.998157125E0,6.204298096E0,1.485810242E0,1.080288528E1
4.008101125E0,6.076763306E0,9.789642334E-1,1.202449493E1
4.018045125E0,5.419180756E0,3.065625000E-1,1.352183121E1
4.027990125E0,4.549938354E0,-2.760260010E-1,1.465707047E1
4.037934125E0,3.536246338E0,-7.626640320E-1,1.525732224E1
4.047878125E0,2.394720154E0,-1.224453735E0,1.536988815E1
4.057823125E0,1.007704468E0,-1.804796906E0,1.500943771E1
4.067767125E0,-3.650907898E-1,-2.397115173E0,1.441682007E1
4.077711125E0,-1.343605957E0,-2.882106628E0,1.408615768E1
